,Unnamed: 0,Unnamed: 0.1,desc,file_id_full,file_id_thumb,medium,title,year,cluster_count
30,30,30,"Arm of the Seine near GivernyClaude Oscar Monet  (1897)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Monday, 20 January 2003 by member rocsdadPublic domain",7510,7509,oil,Arm of the Seine near Giverny,1897,"{(158, 137, 152): 77035, (90, 62, 70): 302384, (60, 28, 33): 192248, (114, 92, 109): 237650, (226, 206, 204): 154295}"
31,31,31,"Arm of the Seine near GivernyClaude Oscar Monet  (1896)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7416,7415,oil,Arm of the Seine near Giverny,1896,"{(133, 151, 197): 147653, (217, 203, 206): 161847, (55, 70, 10): 194028, (85, 105, 35): 251539, (106, 121, 123): 139917}"
32,32,32,"Arm of the Seine near Giverny at SunriseClaude Oscar Monet  (1897)Hiroshima Museum of ArtPainting - oil on canvasUploaded Monday, 20 January 2003 by member rocsdadPublic domain",7506,7505,oil,Arm of the Seine near Giverny at Sunrise,1897,"{(74, 42, 90): 249410, (80, 64, 136): 210679, (142, 95, 147): 96793, (213, 174, 168): 162994, (41, 16, 62): 206860}"
33,33,33,"Arm of the Seine near Giverny in the FogClaude Oscar Monet  (1897)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7502,7501,oil,Arm of the Seine near Giverny in the Fog,1897,"{(195, 169, 141): 256889, (81, 77, 84): 104463, (204, 163, 107): 246728, (116, 106, 113): 147014, (155, 139, 136): 199035}"
34,34,34,"Arm of the Seine near VetheuilClaude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6427,6426,oil,Arm of the Seine near Vetheuil,1878,"{(21, 32, 48): 123853, (151, 154, 198): 179720, (62, 72, 94): 166828, (104, 111, 144): 111325, (192, 192, 219): 222370}"
35,35,35,"Arrival at Saint-Lazare StationClaude Oscar Monet  (1876)Fogg Museum of Art - Harvard UniversityPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6381,6380,oil,Arrival at Saint-Lazare Station,1876,"{(78, 62, 57): 176639, (28, 21, 17): 169233, (158, 148, 168): 190688, (204, 192, 199): 215934, (108, 102, 120): 145914}"
36,36,36,"Arrival of the Normandy Train, Gare Saint-LazareClaude Oscar Monet  (1877)Art Institute of ChicagoPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6383,6382,oil,"Arrival of the Normandy Train, Gare Saint-Lazare",1877,"{(145, 167, 162): 174095, (137, 147, 79): 182790, (84, 98, 88): 144534, (30, 33, 30): 99669, (204, 214, 208): 232626}"
37,37,37,"The Artist's Family in the GardenClaude Oscar Monet  (1875)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",24668,24667,oil,The Artist's Family in the Garden,1875,"{(32, 30, 20): 289437, (83, 78, 41): 328005, (213, 195, 166): 61224, (135, 123, 57): 248308, (225, 149, 36): 158414}"
38,38,38,"The Artist's Garden at VetheuilClaude Oscar Monet  (1881)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6599,6598,oil,The Artist's Garden at Vetheuil,1881,"{(26, 47, 138): 167263, (191, 111, 18): 200973, (123, 80, 24): 274310, (187, 143, 114): 110247, (59, 37, 16): 152199}"
39,39,39,"The Artist's House at ArgenteuilClaude Oscar Monet  (1873)Art Institute of ChicagoPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6237,6236,oil,The Artist's House at Argenteuil,1873,"{(132, 138, 103): 148312, (127, 175, 208): 151318, (103, 105, 27): 221424, (49, 51, 16): 177959, (181, 183, 155): 203255}"
40,40,40,"The Artist's House at GivernyClaude Oscar Monet  (1913)Private collectionPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",329893,329892,oil,The Artist's House at Giverny,1913,"{(208, 173, 99): 8670, (143, 141, 40): 18609, (30, 51, 39): 17802, (87, 98, 35): 22083, (222, 229, 229): 4236}"
41,41,41,"The Artist's House Seen from the Rose GardenClaude Oscar Monet  (1922-1924)MusÃƒÂ©e Marmottan MonetPainting - oil on canvasUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8138,8137,oil,The Artist's House Seen from the Rose Garden,1922-1924,"{(50, 19, 21): 271820, (194, 106, 12): 192506, (173, 29, 14): 198871, (110, 62, 31): 253081, (183, 139, 89): 97330}"
42,42,42,"The Artist's House, View from the Rose GardenClaude Oscar Monet  (1922-1924)MusÃƒÂ©e Marmottan MonetPainting - oil on canvasUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8140,8139,oil,"The Artist's House, View from the Rose Garden",1922-1924,"{(179, 45, 10): 103987, (48, 19, 21): 250709, (218, 130, 23): 116448, (113, 101, 73): 103797, (99, 37, 24): 275203}"
43,43,43,"AstersClaude Oscar Monet  (1880)Private collectionPainting - oil on canvasUploaded Monday, 13 January 2003 by member rocsdadPublic domain",6551,6550,oil,Asters,1880,"{(178, 115, 46): 107455, (93, 67, 50): 363707, (41, 23, 19): 293971, (205, 199, 171): 86607, (131, 125, 111): 191660}"
44,44,44,"At Cap d'AntibesClaude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7136,7135,oil,At Cap d'Antibes,1888,"{(39, 18, 14): 62496, (170, 133, 114): 103046, (93, 63, 52): 90348, (127, 95, 92): 110225, (198, 176, 170): 70755}"
45,45,45,"At Cap d'Antibes, Mistral WindClaude Oscar Monet  (1888)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7108,7107,oil,"At Cap d'Antibes, Mistral Wind",1888,"{(153, 111, 51): 155014, (49, 46, 31): 89137, (40, 73, 128): 94552, (165, 165, 157): 245909, (204, 191, 193): 217388}"
46,46,46,"At Les Petit-DallesClaude Oscar Monet  (1884)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6869,6868,oil,At Les Petit-Dalles,1884,"{(209, 146, 36): 161135, (50, 39, 15): 215890, (164, 175, 183): 287599, (114, 113, 90): 144776, (124, 90, 16): 209167}"
47,47,47,"At the Parc MonceauClaude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6415,6414,oil,At the Parc Monceau,1878,"{(153, 169, 195): 52959, (70, 105, 131): 109950, (14, 33, 19): 330403, (96, 104, 51): 102591, (42, 68, 48): 328228}"
48,48,48,"At Val Saint-Nicolas, near DieppeClaude Oscar Monet  (1897)Private collectionPainting - oil on canvasUploaded Wednesday, 5 October 2005 by member rocsdadPublic domain",47439,47438,oil,"At Val Saint-Nicolas, near Dieppe",1897,"{(202, 121, 36): 95170, (152, 105, 111): 86969, (202, 201, 235): 190804, (234, 232, 249): 209724, (180, 140, 186): 126641}"
49,49,49,"At Val-Saint-Nicolas near Dieppe in the MorningClaude Oscar Monet  (1897)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7456,7455,oil,At Val-Saint-Nicolas near Dieppe in the Morning,1897,"{(169, 101, 44): 107835, (145, 107, 118): 80471, (202, 172, 130): 263902, (181, 149, 149): 164720, (181, 125, 98): 128936}"
50,50,50,"At Val Saint-Nicolas near Dieppe, MorningClaude Oscar Monet  (1897)Private collectionPainting - oil on canvasUploaded Friday, 9 February 2007 by member rocsdadPublic domain",59007,59006,oil,"At Val Saint-Nicolas near Dieppe, Morning",1897,"{(227, 218, 179): 225719, (110, 103, 66): 71188, (128, 139, 151): 86868, (209, 180, 130): 162897, (188, 103, 39): 92904}"
51,51,51,"Autumn Effect at ArgenteuilClaude Oscar Monet  (1873)The Courtauld Gallery - LondonPainting - oil on canvasUploaded Saturday, 3 August 2013 by member kohn1foxPublic domain",341828,341827,oil,Autumn Effect at Argenteuil,1873,"{(153, 110, 46): 18075, (95, 96, 84): 9388, (161, 175, 196): 17142, (83, 138, 178): 10448, (160, 133, 104): 11847}"
52,52,52,"Autumn on the Seine at ArgenteuilClaude Oscar Monet  (1873)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6247,6246,oil,Autumn on the Seine at Argenteuil,1873,"{(74, 32, 4): 95293, (131, 73, 15): 126730, (180, 97, 9): 180337, (206, 183, 112): 251445, (180, 145, 73): 131817}"
53,53,53,"The AvenueClaude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6411,6410,oil,The Avenue,1878,"{(178, 171, 150): 86713, (120, 121, 98): 160881, (146, 97, 22): 132513, (75, 73, 49): 239105, (32, 28, 22): 181104}"
54,54,54,"The Ball Shaped Tree, Argenteuil (detail)Claude Oscar Monet  (1876)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6347,6346,oil,"The Ball Shaped Tree, Argenteuil (detail)",1876,"{(30, 16, 13): 262020, (166, 133, 102): 115982, (70, 48, 21): 214576, (203, 165, 127): 191726, (113, 82, 51): 111381}"
55,55,55,"The Banks of the Fjord at ChristianiaClaude Oscar Monet  (1895)Private collectionPainting - oil on canvasUploaded Wednesday, 1 March 2006 by member rocsdadPublic domain",52334,52333,oil,The Banks of the Fjord at Christiania,1895,"{(75, 61, 84): 27289, (103, 141, 246): 83197, (155, 189, 248): 84863, (55, 91, 232): 50515, (219, 234, 241): 332578}"
56,56,56,"The Banks of the River Epte at GivernyClaude Oscar Monet  (1887)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7054,7053,oil,The Banks of the River Epte at Giverny,1887,"{(148, 152, 153): 118672, (218, 173, 104): 163576, (67, 52, 27): 64113, (206, 203, 180): 285708, (185, 140, 39): 130572}"
57,57,57,"The Banks of the River Epte in SpringtimeClaude Oscar Monet  (1885)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6911,6910,oil,The Banks of the River Epte in Springtime,1885,"{(173, 123, 89): 250844, (51, 45, 19): 103757, (128, 92, 44): 137888, (181, 153, 147): 168136, (115, 118, 147): 134754}"
58,58,58,"The Banks of the Seine atClaude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6441,6440,oil,The Banks of the Seine at,1878,"{(213, 204, 184): 229678, (170, 120, 87): 173263, (151, 143, 145): 148309, (37, 31, 32): 160532, (104, 79, 68): 195418}"
59,59,59,"The Banks of the Seine at ArgenteuilClaude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6163,6162,oil,The Banks of the Seine at Argenteuil,1872,"{(39, 20, 19): 211599, (80, 68, 52): 144974, (122, 137, 157): 243511, (174, 176, 173): 257294, (141, 122, 87): 88724}"
60,60,60,"Banks of the Seine at Jenfosse: Clear WeatherClaude Oscar Monet  (1884)Private collectionPainting - oil on canvasUploaded Saturday, 19 July 2003 by member rocsdadPublic domain",26084,26083,oil,Banks of the Seine at Jenfosse: Clear Weather,1884,"{(108, 98, 117): 248480, (55, 51, 26): 232780, (235, 233, 233): 196487, (143, 161, 206): 151140, (131, 128, 20): 186549}"
61,61,61,"The Banks of the Seine at la Grande JatteClaude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Tuesday, 10 July 2012 by member Baker's DozenPublic domain",187797,187796,oil,The Banks of the Seine at la Grande Jatte,1878,"{(117, 170, 222): 20492, (156, 195, 230): 16428, (53, 92, 85): 4981, (102, 130, 81): 12330, (118, 145, 143): 12069}"
62,62,62,"Banks of the Seine at LavacourtClaude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Monday, 13 October 2008 by member rocsdadPublic domain",75676,75675,oil,Banks of the Seine at Lavacourt,1878,"{(169, 143, 52): 149576, (129, 168, 236): 131069, (206, 198, 191): 124573, (104, 103, 130): 180527, (43, 41, 44): 217455}"
63,63,63,"The Banks of the Seine at Port-VillezClaude Oscar MonetPrivate collectionPainting - oil on canvasUploaded Sunday, 17 March 2013 by member rocsdadPublic domain",295525,295524,oil,The Banks of the Seine at Port-Villez,[],"{(233, 218, 194): 22879, (127, 119, 65): 10494, (192, 194, 205): 15348, (201, 171, 115): 8817, (56, 60, 22): 9362}"
64,64,64,"The Banks of the Seine at Port-VillezClaude Oscar Monet  (1885)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6949,6948,oil,The Banks of the Seine at Port-Villez,1885,"{(38, 26, 37): 171146, (160, 113, 66): 150278, (92, 72, 75): 204167, (128, 116, 143): 222016, (175, 153, 160): 251651}"
65,65,65,"The Banks of the Seine at the Argenteuil BridgeClaude Oscar Monet  (1874)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6275,6274,oil,The Banks of the Seine at the Argenteuil Bridge,1874,"{(54, 35, 8): 108862, (167, 139, 20): 143899, (234, 198, 143): 287745, (112, 98, 28): 180363, (187, 157, 80): 116653}"
66,66,66,"Banks of the Seine at VÃƒÂ©theuilClaude Oscar Monet  (1880)National Gallery of Art - Washington DCPainting - oil on canvasUploaded Saturday, 12 April 2014 by member kohn1foxPublic domain",439049,439048,oil,Banks of the Seine at VÃƒÂ©theuil,1880,"{(141, 157, 51): 14756, (163, 181, 131): 9628, (81, 116, 32): 11598, (194, 209, 211): 23751, (73, 123, 115): 5067}"
67,67,67,"The Banks of the Seine, Ile de la Grande-JatteClaude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6405,6404,oil,"The Banks of the Seine, Ile de la Grande-Jatte",1878,"{(182, 148, 143): 188821, (214, 186, 183): 240472, (108, 65, 43): 134403, (147, 107, 97): 148912, (51, 17, 12): 114264}"
68,68,68,"The Banks of The Seine in AutumnClaude Oscar Monet  (1876)Private collectionPainting - oil on canvasUploaded Sunday, 18 September 2005 by member rocsdadPublic domain",46816,46815,oil,The Banks of The Seine in Autumn,1876,"{(207, 225, 218): 260580, (67, 103, 77): 80590, (164, 162, 90): 98922, (36, 60, 15): 213461, (113, 103, 16): 143667}"
69,69,69,"The Banks of the Seine, LavacourtClaude Oscar Monet  (1878)Galerie Neue Meister - Staatliche Kunstsammlungen DresdenPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6439,6438,oil,"The Banks of the Seine, Lavacourt",1878,"{(131, 118, 95): 165617, (186, 151, 83): 126353, (187, 175, 148): 309968, (29, 27, 23): 142945, (80, 75, 57): 162803}"
70,70,70,"Barge on the Seine at Vetheuil(also known as Vetheuil)Claude Oscar Monet  (1901-1902)Private collectionPainting - oil on canvasUploaded Tuesday, 21 January 2003 by member rocsdadPublic domain",7710,7709,oil,Barge on the Seine at Vetheuil,1901-1902,"{(79, 51, 8): 139371, (166, 132, 59): 269083, (121, 68, 11): 176252, (150, 109, 34): 141279, (179, 151, 89): 142650}"
71,71,71,"The Basin at ArgenteuilClaude Oscar Monet  (1872)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6171,6170,oil,The Basin at Argenteuil,1872,"{(202, 207, 197): 289760, (79, 93, 16): 151084, (24, 42, 7): 140304, (151, 142, 63): 74386, (157, 169, 200): 169501}"
72,72,72,"A Basket of ApplesClaude Oscar Monet  (1880)Private collectionPainting - oil on canvasUploaded Monday, 12 November 2012 by member rocsdadPublic domain",250994,250993,oil,A Basket of Apples,1880,"{(167, 103, 33): 14401, (109, 68, 21): 21660, (244, 154, 42): 16849, (47, 29, 18): 14305, (223, 47, 6): 5985}"
73,73,73,"Basket of Grapes, Quinces and PearsClaude Oscar Monet  (1882-1885)Columbus Museum of Art (Ohio)Painting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6893,6892,oil,"Basket of Grapes, Quinces and Pears",1882-1885,"{(57, 31, 40): 60095, (242, 135, 23): 372605, (239, 181, 105): 112002, (176, 120, 96): 75348, (213, 96, 13): 217670}"
74,74,74,"Bathers at La GrenouillereClaude Oscar Monet  (1869)National Gallery - LondonPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",348887,348886,oil,Bathers at La Grenouillere,1869,"{(88, 111, 100): 10525, (147, 161, 129): 6766, (74, 84, 62): 26497, (114, 118, 65): 8860, (48, 61, 40): 18752}"
75,75,75,"The Bay of AntibesClaude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7078,7077,oil,The Bay of Antibes,1888,"{(212, 138, 79): 63643, (188, 182, 185): 257340, (158, 142, 156): 202311, (204, 173, 152): 204322, (129, 100, 113): 52038}"
